,Posizione,Interprete,Canzone,Anno,Autori,Posizione_numerica,Stato,Artista_spotify,Popolarità,Anno_ultimo_rilascio,Presentatore,Sede,Partecipanti,,,
1343,F,Francesco Renga,Uomo senza età,2009,F. Renga e M. Zappatini,,Finalista,Francesco Renga,10,2009,Paolo Bonolis,Teatro Ariston,26,,,
1344,F,Fausto Leali,Una piccola parte di te,2009,G. Fasano e F. Berlincioni,,Finalista,Fausto Leali,17,2013,Paolo Bonolis,Teatro Ariston,26,,,
1345,F,Marco Masini,L'Italia,2009,M. Masini e B. Dati,,Finalista,Brusco,10,2009,Paolo Bonolis,Teatro Ariston,26,,,
1346,F,Patty Pravo,E io verrò un giorno là,2009,A. Cutri,,Finalista,Patty Pravo,19,2013,Paolo Bonolis,Teatro Ariston,26,,,
1347,F,Alexia feat. Mario Lavezzi,Biancaneve,2009,Mogol e M. Lavezzi,,Finalista,The Pietro Carapellucci Choir,33,2022,Paolo Bonolis,Teatro Ariston,26,,,
1348,F,Al Bano,L'amore è sempre amore,2009,G. Morra e M. Fabrizio,,Finalista,Nina Zilli,45,2012,Paolo Bonolis,Teatro Ariston,26,,,
1349,F,"Pupo, Paolo Belli e Youssou N'Dour",L'opportunità,2009,Mogol e E. Ghinazzi,,Finalista,Jacques Dutronc,44,1969,Paolo Bonolis,Teatro Ariston,26,,,
1350,NF,Dolcenera,Il mio amore unico,2009,"Dolcenera, S. Lanza, G. P. Ameli e O. Avogadro",,Non Finalista,Dolcenera,22,2009,Paolo Bonolis,Teatro Ariston,26,,,
1351,NF,Gemelli DiVersi,Vivi per un miracolo,2009,"L. Aleotti, A. Merli, E. Busnaghi e F. Stranges",,Non Finalista,Gemelli Diversi,30,2009,Paolo Bonolis,Teatro Ariston,26,,,
1352,NF,Nicky Nicolai e Stefano Di Battista,Più sole,2009,L. Cherubini e S. Di Battista,,Non Finalista,Nicky Nicolai,20,2009,Paolo Bonolis,Teatro Ariston,26,,,
1353,NF,Afterhours,Il paese è reale,2009,"M. Agnelli, G. Ciccarelli, R. D'Erasmo, E. Gabrielli e G. Prette",,Non Finalista,Afterhours,26,2009,Paolo Bonolis,Teatro Ariston,26,,,
1354,NF,Tricarico,Il bosco delle fragole,2009,F. Tricarico,,Non Finalista,Tricarico,17,2009,Paolo Bonolis,Teatro Ariston,26,,,
1355,NF,Iva Zanicchi,Ti voglio senza amore,2009,F. Berlincioni e G. Fasano,,Non Finalista,Iva Zanicchi,5,2009,Paolo Bonolis,Teatro Ariston,26,,,
1356,1º,Valerio Scanu,Per tutte le volte che...,2010,P. Carone,1,Vincitore,,,,Antonella Clerici,Teatro Ariston,25,,,
1357,2º,Pupo ed Emanuele Filiberto con Luca Canonici,Italia amore mio,2010,E. Filiberto ed E. Ghinazzi,2,Finalista,Luca Canonici,30,2013,Antonella Clerici,Teatro Ariston,25,,,
1358,3º,Marco Mengoni,Credimi ancora,2010,"M. Mengoni, S. Fabiani, M. Calabrese e P. Calabrese",3,Finalista,Marco Mengoni,38,2010,Antonella Clerici,Teatro Ariston,25,,,
1359,F (4º)[19],Noemi,Per tutta la vita,2010,D. Calvetti e M. Ciappelli,,Finalista,Noemi,47,2009,Antonella Clerici,Teatro Ariston,25,,,
1360,F (5º)[20],Malika Ayane,Ricomincio da qui,2010,"M. Ayane, Pacifico e F. Arnò",,Finalista,Malika Ayane,38,2010,Antonella Clerici,Teatro Ariston,25,,,
1361,F (6º)[21],Irene Fornaciari feat. Nomadi,Il mondo piange,2010,"A. Fornaciari, D. Dattoli e I. Fornaciari",,Finalista,Irene Fornaciari,27,2010,Antonella Clerici,Teatro Ariston,25,,,
1362,F (7º)[22],Simone Cristicchi,Meno male,2010,"S. Cristicchi, F. Di Gesù, E. Marcelli e A. Canini",,Finalista,Andrea Vantini,33,2010,Antonella Clerici,Teatro Ariston,25,,,
1363,F (8º)[23],Irene Grandi,La cometa di Halley,2010,F. Bianconi e I. Grandi,,Finalista,Irene Grandi,34,2010,Antonella Clerici,Teatro Ariston,25,,,
1364,F (9º)[24],Arisa,Malamorenò,2010,G. Anastasi,,Finalista,Arisa,32,2010,Antonella Clerici,Teatro Ariston,25,,,
1365,F (10º)[25],Povia,La verità,2010,G. Povia,,Finalista,Brunori Sas,55,2017,Antonella Clerici,Teatro Ariston,25,,,
1366,NF,Enrico Ruggeri,La notte delle fate,2010,E. Ruggeri,,Non Finalista,Enrico Ruggeri,14,2010,Antonella Clerici,Teatro Ariston,25,,,
1367,NF,Fabrizio Moro,Non è una canzone,2010,F. Mobrici,,Non Finalista,The Zen Circus,17,2018,Antonella Clerici,Teatro Ariston,25,,,
1368,NF,Nino D'Angelo con Maria Nazionale,Jammo jà[26],2010,N. D'Angelo,,Non Finalista,Nino D'Angelo,44,2010,Antonella Clerici,Teatro Ariston,25,,,
1369,NF,Sonohra,Baby,2010,R. Tini e D. Fainello,,Non Finalista,Don Pero,75,2022,Antonella Clerici,Teatro Ariston,25,,,
1370,NF,Toto Cutugno,Aeroplani,2010,"T. Cutugno, C. Romano e S. Iodice",,Non Finalista,Coez,39,2019,Antonella Clerici,Teatro Ariston,25,,,
1371,1º,Roberto Vecchioni,Chiamami ancora amore,2011,R. Vecchioni,1,Vincitore,,,,Gianni Morandi,Teatro Ariston,22,,,
1372,2º,Modà con Emma,Arriverà,2011,"F. Silvestre, E. Zapparoli e E. Palmosi",2,Finalista,Emma,29,2014,Gianni Morandi,Teatro Ariston,22,,,
1373,3º,Al Bano,Amanda è libera,2011,"F. Berlincioni, A. Carrisi e A. Paoletti",3,Finalista,Al Bano,15,2017,Gianni Morandi,Teatro Ariston,22,,,
1374,4º,Davide Van De Sfroos,Yanez[22],2011,D. Bernasconi,4,Finalista,Relaxing Music by Finjus Yanez,0,2022,Gianni Morandi,Teatro Ariston,22,,,
1375,5º,Luca Madonia con Franco Battiato,L'alieno,2011,L. Madonia,5,Finalista,Aguirre,1,2023,Gianni Morandi,Teatro Ariston,22,,,
1376,6º,La Crus,Io confesso,2011,M. E. Giovanardi e M. Curallo,6,Finalista,Mauro Ermanno Giovanardi,10,2013,Gianni Morandi,Teatro Ariston,22,,,
1377,7º,Nathalie,Vivo sospesa,2011,N. Giannitrapani,7,Finalista,Nathalie,23,2011,Gianni Morandi,Teatro Ariston,22,,,
1378,8º,Luca Barbarossa e Raquel del Rosario,Fino in fondo,2011,L. Barbarossa,8,Finalista,Luca Barbarossa,48,2011,Gianni Morandi,Teatro Ariston,22,,,
1379,9º,Anna Tatangelo,Bastardo,2011,"V. D'Agostino, A. Tatangelo e G. D'Alessio",9,Finalista,Samurai Jay,45,2020,Gianni Morandi,Teatro Ariston,22,,,
1380,10º,Giusy Ferreri,Il mare immenso,2011,"Bungaro, G. Ferreri e M. Calò",10,Finalista,Giusy Ferreri,35,2011,Gianni Morandi,Teatro Ariston,22,,,
1381,NF (E4),Max Pezzali,Il mio secondo tempo,2011,M. Pezzali,,Non Finalista,Max Pezzali,39,2011,Gianni Morandi,Teatro Ariston,22,,,
1382,NF (E4),Tricarico,Tre colori,2011,F. Mesolella,,Non Finalista,Tricarico,18,2011,Gianni Morandi,Teatro Ariston,22,,,
1383,NF (E3),Anna Oxa,La mia anima d'uomo,2011,"L. Imerico, A. Oxa e R. Pacco",,Non Finalista,Anna Oxa,16,2016,Gianni Morandi,Teatro Ariston,22,,,
1384,NF (E3),Patty Pravo,Il vento e le rose,2011,D. Calvetti e M. Ciappelli,,Non Finalista,Patty Pravo,22,2011,Gianni Morandi,Teatro Ariston,22,,,
1385,1º,Emma,Non è l'inferno,2012,"F. Silvestre, L. Sala e E. Palmosi",1,Vincitore,,,,Gianni Morandi,Teatro Ariston,22,,,
1386,2º,Arisa,La notte,2012,G. Anastasi,2,Finalista,Modà,51,2011,Gianni Morandi,Teatro Ariston,22,,,
1387,3º,Noemi,Sono solo parole,2012,F. Moro,3,Finalista,Noemi,57,2012,Gianni Morandi,Teatro Ariston,22,,,
1388,4º,Gigi D'Alessio e Loredana Bertè,Respirare,2012,L. D'Alessio e V. D'Agostino,4,Finalista,Subsonica,32,2018,Gianni Morandi,Teatro Ariston,22,,,
1389,5º,Pierdavide Carone e Lucio Dalla,Nanì,2012,P. Carone e L. Dalla,5,Finalista,Pierdavide Carone,30,2012,Gianni Morandi,Teatro Ariston,22,,,
1390,6º,Dolcenera,Ci vediamo a casa,2012,Dolcenera,6,Finalista,Dolcenera,36,2012,Gianni Morandi,Teatro Ariston,22,,,
1391,7º,Nina Zilli,Per sempre,2012,R. Casalino e N. Zilli,7,Finalista,Nina Zilli,45,2012,Gianni Morandi,Teatro Ariston,22,,,
1392,8º,Francesco Renga,La tua bellezza,2012,"F. Renga, D. Mancino e D. Faini",8,Finalista,Francesco Renga,42,2012,Gianni Morandi,Teatro Ariston,22,,,
1393,9º,Samuele Bersani,Un pallone,2012,S. Bersani,9,Finalista,Enrico Ruggeri,26,2019,Gianni Morandi,Teatro Ariston,22,,,
1394,10º,Eugenio Finardi,E tu lo chiami Dio,2012,R. Di Lorenzo,10,Finalista,Eugenio Finardi,17,2013,Gianni Morandi,Teatro Ariston,22,,,
1395,NF (E4),Matia Bazar,Sei tu,2012,"P. Cassano, G. Golzi e F. Perversi",,Non Finalista,Andrew Underberg,61,2024,Gianni Morandi,Teatro Ariston,22,,,
1396,NF (E4),Chiara Civello,Al posto del mondo,2012,C. Civello e D. Tejera,,Non Finalista,Edgar Allan Pop,3,2023,Gianni Morandi,Teatro Ariston,22,,,
1397,NF (E3),Irene Fornaciari,Grande mistero,2012,D. Van De Sfroos,,Non Finalista,Paolo Buonvino,26,2000,Gianni Morandi,Teatro Ariston,22,,,
1398,NF (E3),Marlene Kuntz,Canzone per un figlio,2012,"C. Godano, R. Tesio e L. Bergia",,Non Finalista,Marlene Kuntz,17,2012,Gianni Morandi,Teatro Ariston,22,,,
1399,1º,Marco Mengoni,L'essenziale,2013,"R. Casalino, M. Mengoni e F. De Benedittis",1,Vincitore,,,,Fabio Fazio,Teatro Ariston,22,,,
1400,2º,Elio e le Storie Tese,La canzone mononota,2013,"S. Belisari, S. Conforti, D. L. Civaschi e N. Fasani",2,Finalista,Elio e le Storie Tese,35,2013,Fabio Fazio,Teatro Ariston,22,,,
1401,3º,Modà,Se si potesse non morire,2013,F. Silvestre,3,Finalista,Modà,39,2014,Fabio Fazio,Teatro Ariston,22,,,
1402,4º,Malika Ayane,E se poi,2013,G. Sangiorgi,4,Finalista,Mario Riccardi,1,2012,Fabio Fazio,Teatro Ariston,22,,,
1403,5º,Raphael Gualazzi,Sai (ci basta un sogno),2013,R. Gualazzi,5,Finalista,Raphael Gualazzi,26,2014,Fabio Fazio,Teatro Ariston,22,,,
1404,6º,Daniele Silvestri,A bocca chiusa,2013,D. Silvestri,6,Finalista,Daniele Silvestri,49,2013,Fabio Fazio,Teatro Ariston,22,,,
1405,7º,Max Gazzè,Sotto casa,2013,"F. Gazzè, M. Gazzè e F. De Benedittis",7,Finalista,Max Gazzè,54,2013,Fabio Fazio,Teatro Ariston,22,,,
1406,8º,Chiara,Il futuro che sarà,2013,"F. Bianconi, L. Chiaravalli e L. Gonzalez Alea",8,Finalista,Chiara Galiazzo,27,2013,Fabio Fazio,Teatro Ariston,22,,,
1407,9º,Annalisa,Scintille,2013,D. Faini e A. Galbiati,9,Finalista,Gazzelle,58,2018,Fabio Fazio,Teatro Ariston,22,,,
1408,10º,Maria Nazionale,È colpa mia,2013,G. Servillo e F. Mesolella,10,Finalista,Il Teatro Degli Orrori,30,2009,Fabio Fazio,Teatro Ariston,22,,,
1409,11º,Simone Cristicchi,La prima volta (che sono morto),2013,S. Cristicchi e L. Pari,11,Finalista,Simone Cristicchi,27,2013,Fabio Fazio,Teatro Ariston,22,,,
1410,12º,Marta sui Tubi,Vorrei,2013,"G. Gulino, M. Boschi, C. Pipitone, P. Pischedda e I. Paolini",12,Finalista,J-AX,55,2017,Fabio Fazio,Teatro Ariston,22,,,
1411,13º,Simona Molinari con Peter Cincotti,La felicità,2013,"S. Molinari, M. Vultaggio, P. Cincotti e C. Avarello",13,Finalista,Simona Molinari,40,2013,Fabio Fazio,Teatro Ariston,22,,,
1412,14º,Almamegretta,Mamma non lo sa,2013,"G. Della Volpe, P. Polcari e G. Tesone",14,Finalista,Almamegretta,24,2013,Fabio Fazio,Teatro Ariston,22,,,
1413,NF,Marco Mengoni,Bellissimo,2013,"G. Nannini, Pacifico e D. Tagliapietra",,Non Finalista,Alfa,75,2023,Fabio Fazio,Teatro Ariston,22,,,
1414,NF,Modà,Come l'acqua dentro il mare,2013,F. Silvestre,,Non Finalista,Modà,31,2014,Fabio Fazio,Teatro Ariston,22,,,
1415,NF,Elio e le Storie Tese,Dannati forever,2013,"S. Belisari, S. Conforti, D. L. Civaschi e N. Fasani",,Non Finalista,Elio e le Storie Tese,26,2013,Fabio Fazio,Teatro Ariston,22,,,
1416,NF,Marta sui Tubi,Dispari,2013,"G. Gulino, M. Boschi, C. Pipitone, P. Pischedda e I. Paolini",,Non Finalista,Marta Sui Tubi,34,2013,Fabio Fazio,Teatro Ariston,22,,,
1417,NF,Simona Molinari con Peter Cincotti,Dr. Jekyll Mr. Hyde,2013,L. Luttazzi e A. Zeppieri,,Non Finalista,Simona Molinari,32,2013,Fabio Fazio,Teatro Ariston,22,,,
1418,NF,Max Gazzè,I tuoi maledettissimi impegni,2013,"F. Gazzè, M. Gazzè, e M. Buzzanca",,Non Finalista,Max Gazzè,32,2013,Fabio Fazio,Teatro Ariston,22,,,
1419,NF,Daniele Silvestri,Il bisogno di te (ricatto d'onor),2013,D. Silvestri,,Non Finalista,Emanuele Aloia,63,2021,Fabio Fazio,Teatro Ariston,22,,,
1420,NF,Chiara,L'esperienza dell'amore,2013,F. Zampaglione e D. Zampaglione,,Non Finalista,Chiara Galiazzo,8,2013,Fabio Fazio,Teatro Ariston,22,,,
1421,NF,Simone Cristicchi,Mi manchi,2013,"S. Cristicchi, F. Di Salvo e R. Pacco",,Non Finalista,Paky,62,2022,Fabio Fazio,Teatro Ariston,22,,,
1422,NF,Malika Ayane,Niente,2013,G. Sangiorgi,,Non Finalista,Marracash,64,2016,Fabio Fazio,Teatro Ariston,22,,,
1423,NF,Annalisa,Non so ballare,2013,E. Meta,,Non Finalista,Tommycassi,28,2018,Fabio Fazio,Teatro Ariston,22,,,
1424,NF,Almamegretta,Onda che vai,2013,F. Zampaglione e D. Zampaglione,,Non Finalista,Tiromancino,10,2016,Fabio Fazio,Teatro Ariston,22,,,
1425,NF,Maria Nazionale,Quando non parlo,2013,E. Gragnaniello,,Non Finalista,Postino,33,2018,Fabio Fazio,Teatro Ariston,22,,,
1426,NF,Raphael Gualazzi,Senza ritegno,2013,R. Gualazzi,,Non Finalista,Raphael Gualazzi,25,2014,Fabio Fazio,Teatro Ariston,22,,,
1427,1º,Arisa,Controvento,2014,G. Anastasi,1,Vincitore,,,,Fabio Fazio,Teatro Ariston,22,,,
1428,2º,Raphael Gualazzi & The Bloody Beetroots,Liberi o no,2014,"R. Gualazzi, B. Rifo, L. Beccafichi",2,Finalista,Raphael Gualazzi,21,2014,Fabio Fazio,Teatro Ariston,22,,,
1429,3º,Renzo Rubino,Ora,2014,"R. Rubino, A. Rodini",3,Finalista,Sfera Ebbasta,62,2023,Fabio Fazio,Teatro Ariston,22,,,
1430,4º,Francesco Renga,Vivendo adesso,2014,E. Toffoli,4,Finalista,Francesco Renga,47,2014,Fabio Fazio,Teatro Ariston,22,,,
1431,5º,Noemi,Bagnati dal sole,2014,"Noemi, C. Ailin, R. Frenneaux",5,Finalista,Noemi,35,2014,Fabio Fazio,Teatro Ariston,22,,,
1432,6º,Perturbazione,L'unica,2014,"T. Cerasuolo, G. Giancursi, R. Lo Mele, A. Baracco, E. Diana, C. Lo Mele",6,Finalista,Ultimo,57,2017,Fabio Fazio,Teatro Ariston,22,,,
1433,7º,Cristiano De André,Il cielo è vuoto,2014,"D. Mancino, C. De André, D. Faini",7,Finalista,Ligabue,30,1995,Fabio Fazio,Teatro Ariston,22,,,
1434,8º,Frankie hi-nrg mc,Pedala,2014,"F. Di Gesú, C. Galbignani, L. Beccafichi",8,Finalista,n.u.n.u.,2,2008,Fabio Fazio,Teatro Ariston,22,,,
1435,9º,Giusy Ferreri,Ti porto a cena con me,2014,"R. Casalino, D. Faini",9,Finalista,Giusy Ferreri,37,2014,Fabio Fazio,Teatro Ariston,22,,,
1436,10º,Francesco Sarcina,Nel tuo sorriso,2014,F. Sarcina,10,Finalista,Andrea Mariani,16,2023,Fabio Fazio,Teatro Ariston,22,,,
1437,11º,Giuliano Palma,Così lontano,2014,"N. Zilli, M. Ciappelli, A. Flora",11,Finalista,Giuliano Palma,20,2014,Fabio Fazio,Teatro Ariston,22,,,
1438,12º,Antonella Ruggiero,Da lontano,2014,"A. Ruggiero, A. Graziano, A. Rossi, R. Colombo",12,Finalista,Antonella Ruggiero,12,2014,Fabio Fazio,Teatro Ariston,22,,,
1439,13º,Ron,Sing in the rain,2014,"Ron, M. Del Forno",13,Finalista,MORIAH,21,2012,Fabio Fazio,Teatro Ariston,22,,,
1440,Escluso,Riccardo Sinigallia,Prima di andare via,2014,"F. Gatti, R. Sinigallia",,Escluso,Neffa,53,2003,Fabio Fazio,Teatro Ariston,22,,,
1441,NF,Francesco Renga,A un isolato da te,2014,R. Casalino,,Non Finalista,Francesco Renga,37,2014,Fabio Fazio,Teatro Ariston,22,,,
1442,NF,Francesco Sarcina,In questa città,2014,F. Sarcina,,Non Finalista,Max Pezzali,38,2020,Fabio Fazio,Teatro Ariston,22,,,
1443,NF,Cristiano De André,Invisibili,2014,"F. Ferraboschi, C. De André",,Non Finalista,En?gma,30,2021,Fabio Fazio,Teatro Ariston,22,,,
1444,NF,Giusy Ferreri,L'amore possiede il bene,2014,"R. Casalino, N. Verrienti",,Non Finalista,Giusy Ferreri,20,2014,Fabio Fazio,Teatro Ariston,22,,,
1445,NF,Perturbazione,L'Italia vista dal bar,2014,"T. Cerasuolo, G. Giancursi, R. Lo Mele, A. Baracco, E. Diana, C. Lo Mele",,Non Finalista,Perturbazione,4,2014,Fabio Fazio,Teatro Ariston,22,,,
1446,NF,Arisa,Lentamente (Il primo che passa),2014,"C. Donà, R. Pippa, S. Lanza",,Non Finalista,Arisa,12,2014,Fabio Fazio,Teatro Ariston,22,,,
1447,NF,Renzo Rubino,Per sempre e poi basta,2014,"R. Rubino, A. Rodini",,Non Finalista,Renzo Rubino,0,2024,Fabio Fazio,Teatro Ariston,22,,,
1448,NF,Antonella Ruggiero,Quando balliamo,2014,"S. Lenzi, A. Ruggiero, R. Colombo",,Non Finalista,Antonella Ruggiero,3,2014,Fabio Fazio,Teatro Ariston,22,,,
1449,NF,Raphael Gualazzi & The Bloody Beetroots,Tanto ci sei,2014,"G. Sangiorgi, R. Gualazzi, B. Rifo",,Non Finalista,Raphael Gualazzi,12,2014,Fabio Fazio,Teatro Ariston,22,,,
1450,NF,Giuliano Palma,Un bacio crudele,2014,"C. Valli, G. Palma, F. Merigo",,Non Finalista,Giuliano Palma,12,2014,Fabio Fazio,Teatro Ariston,22,,,
1451,NF,Noemi,Un uomo è un albero,2014,"Noemi, D. Mancino, D. Faini",,Non Finalista,Noemi,10,2014,Fabio Fazio,Teatro Ariston,22,,,
1452,NF,Frankie hi-nrg mc,Un uomo è vivo,2014,"F. Di Gesú, C. Galbignani, L. Beccafichi",,Non Finalista,Frankie hi-nrg mc,18,2014,Fabio Fazio,Teatro Ariston,22,,,
1453,NF,Ron,Un abbraccio unico,2014,Ron,,Non Finalista,Ron,9,2023,Fabio Fazio,Teatro Ariston,22,,,
1454,NF,Riccardo Sinigallia,Una rigenerazione,2014,"F. Gatti, R. Sinigallia",,Non Finalista,Riccardo Sinigallia,10,2014,Fabio Fazio,Teatro Ariston,22,,,
1455,1º,Il Volo,Grande amore,2015,F. Boccia e C. Esposito,1,Vincitore,,,,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1456,2º,Nek,Fatti avanti amore,2015,"Nek, L. Chiaravalli, A. Bonomo e G. Fazio",2,Finalista,Nek,47,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1457,3º,Malika Ayane,Adesso e qui (nostalgico presente),2015,"M. Ayane, Pacifico, G. Caccamo e A. Flora",3,Finalista,Malika Ayane,42,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1458,4º,Annalisa,Una finestra tra le stelle,2015,F. Silvestre,4,Finalista,Annalisa,61,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1459,5º,Chiara,Straordinario,2015,E. Meta e G. Pollex,5,Finalista,Chiara Galiazzo,55,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1460,6º,Marco Masini,Che giorno è,2015,"M. Masini, F. Camba e D. Coro",6,Finalista,Marco Masini,28,2020,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1461,7º,Dear Jack,Il mondo esplode tranne noi,2015,P. Romitelli e D. Simonetta,7,Finalista,Dear Jack,17,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1462,8º,Gianluca Grignani,Sogni infranti,2015,G. Grignani,8,Finalista,Gianluca Grignani,26,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1463,9º,Nina Zilli,Sola,2015,N. Zilli,9,Finalista,Annalisa,65,2023,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1464,10º,Lorenzo Fragola,Siamo uguali,2015,"L. Fragola, Fedez e F. Cogliati",10,Finalista,Lorenzo Fragola,49,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1465,11º,Alex Britti,Un attimo importante,2015,A. Britti,11,Finalista,Alex Britti,35,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1466,12º,Irene Grandi,Un vento senza nome,2015,I. Grandi e S. Lanza,12,Finalista,Irene Grandi,23,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1467,13º,Nesli,Buona fortuna amore,2015,Nesli e Brando,13,Finalista,Nesli,32,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1468,14º,Bianca Atzei,Il solo al mondo,2015,F. Silvestre,14,Finalista,Bianca Atzei,24,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1469,15º,Moreno,Oggi ti parlo così,2015,"M. Donadoni, R. Casalino, M. Dagani, A. Erba e M. Zangirolami",15,Finalista,Moreno,16,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1470,16º,Grazia Di Michele e Mauro Coruzzi,Io sono una finestra,2015,G. Di Michele e R. Petrangeli,16,Finalista,"Grazia Di Michele, Mauro Coruzzi",9,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1471,NF,Anna Tatangelo,Libera,2015,F. Silvestre ed E. Palmosi,,Non Finalista,LIBERATO,65,2019,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1472,NF,Raf,Come una favola,2015,"R. Riefoli, S. Grandi e E. Cecere",,Non Finalista,Raf,40,2015,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1473,NF,Biggio e Mandelli,Vita d'inferno,2015,"F. Biggio, M. Ferro e F. Mandelli",,Non Finalista,Gianluca Marino,0,2024,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1474,NF,Lara Fabian,Voce,2015,"C. Cremonini, L. Fabian e F. Zanotti",,Non Finalista,Madame,56,2021,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1475,1º,Stadio,Un giorno mi dirai,2016,"S. Grandi, G. Curreri e L. Chiaravalli",1,Vincitore,,,,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1476,2º,Francesca Michielin,Nessun grado di separazione,2016,"F. Michielin, F. Abbate, Cheope e F. Gargiulo",2,Finalista,Francesca Michielin,53,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1477,3º,Giovanni Caccamo e Deborah Iurato,Via da qui,2016,G. Sangiorgi,3,Finalista,Fineconfine,33,2024,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1478,4º,Enrico Ruggeri,Il primo amore non si scorda mai,2016,E. Ruggeri,4,Finalista,Gigi D'Alessio,24,2001,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1479,5º,Lorenzo Fragola,Infinite volte,2016,"L. Fragola, A. Filippelli, F. Ferraguzzo, R. L. Di Benedetto e R. Canale",5,Finalista,Lorenzo Fragola,41,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1480,6º,Patty Pravo,Cieli immensi,2016,F. Zampaglione,6,Finalista,Patty Pravo,38,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1481,7º,Clementino,Quando sono lontano,2016,"C. Maccaro, K. Scherer e V. Stein",7,Finalista,Clementino,45,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1482,8º,Noemi,La borsa di una donna,2016,"M. Masini, M. Adami e A. Iammarino",8,Finalista,Noemi,28,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1483,9º,Rocco Hunt,Wake Up,2016,"R. Pagliarulo, S. Benussi e V. Catanzaro",9,Finalista,MoonDeity,78,2022,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1484,10º,Arisa,Guardando il cielo,2016,G. Anastasi,10,Finalista,Arisa,34,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1485,11º,Annalisa,Il diluvio universale,2016,D. Calvetti e A. Scarrone,11,Finalista,Annalisa,0,2024,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1486,12º,Elio e le Storie Tese,Vincere l'odio,2016,"S. Belisari, S. Conforti, D. Civaschi e N. Fasani",12,Finalista,Elio e le Storie Tese,27,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1487,13º,Valerio Scanu,Finalmente piove,2016,F. Moro,13,Finalista,Valerio Scanu,33,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1488,14º,Alessio Bernabei,Noi siamo infinito,2016,"R. Casalino, I. Amatucci, e D. Faini",14,Finalista,Alessio Bernabei,36,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1489,15º,Dolcenera,Ora o mai più (le cose cambiano),2016,Dolcenera e Finaz,15,Finalista,Dolcenera,21,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1490,16º,Irene Fornaciari,Blu,2016,"G. Dati, I. Fornaciari, M. Fontana e D. Calvetti",16,Finalista,Eiffel 65,79,1999,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1491,NF,Bluvertigo,Semplicemente,2016,M. Castoldi,,Non Finalista,Zero Assoluto,52,2007,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1492,NF,Dear Jack,Mezzo respiro,2016,"R. Balbo, S. Paviani, L. Riflessi e C. Corradini",,Non Finalista,Dear Jack,19,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1493,NF,Neffa,Sogni e nostalgia,2016,G. Pellino,,Non Finalista,Neffa,29,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1494,NF,Zero Assoluto,Di me e di te,2016,"T. De Gasperi, A. Filippelli, M. Maffucci e L. Vicini",,Non Finalista,Zero Assoluto,42,2016,Carlo Conti (conduttore televisivo),Teatro Ariston,28,,,
1495,1º,Francesco Gabbani,Occidentali's Karma,2017,"F. Ilacqua, F. Gabbani e L. Chiaravalli",1,Vincitore,,,,Carlo Conti (conduttore televisivo),Teatro Ariston,30,,,
